Term,Value
baffled,1.875
started,28.347
econ,22.504
michaelgove,0.438
fuck,6.993
hre,15.939
opposing,18.315
announce,0.213
antichrist,14.634
crossed,2.997
nytopinion,4.473
dissolve,5.751
control,6.915
links,2.094
process,5.112
tax,0.213
reserves,1.917
something,10.452
united,31.256
democracy,4.048
forest,9.689
13363442,15.442
stop,9.738
ethnic,2.079
ties,15.102
strongerin,21.458
holland_tom,11.758
allow,13.851
preparing,0.853
move,14.799
including,17.472
looks,25.0
mentioned,17.181
roman___empire,0.213
revived,378.142
recreating,2.079
chosen,8.844
ll,1.498
winning,13.671
latitude,3.003
2017,0.213
2016,45.345
2011,18.837
ly,34.406
rodadams46,2.415
huff,14.784
python,13.5
outlined,9.678
campaigner,14.784
colchester,11.99
day,4.289
successor,0.356
articles,10.647
warned,5.976
truth,6.138
legions,1.005
commonwealth,13.671
attachments,0.487
despots,2.77
mercedesschlapp,1.509
society,14.704
joshtpm,14.4
bay,1.593
thecarczarspage,6.3
witness,25.875
empires,17.57
fundamentally,0.201
barbariancap,21.312
chaos,16.172
islamist,0.353
janimine,6.39
britons,17.392
cromwell,1.001
cause,31.995
red,3.236
emp,0.34
activity,11.922
approaches,6.892
surely,0.213
nolahoubear,2.7
quo,6.903
backwards,0.441
1qjxwos,2.079
hinting,0.57
put,3.816
times,4.428
elector,8.928
hence,2.184
repeats,14.062
europarl_en,14.964
south,18.018
glories,10.975
jesus,29.971
blows,0.15
7458281,7.68
ancient,15.449
system,12.573
beard,14.493
doomed,0.581
exactly,9.9
july,8.828
elite,3.696
haven,10.434
johnson,3.596
anthemius,2.7
false,2.449
showbiz,0.649
need,8.094
border,45.812
linked,17.609
catholic,10.078
studying,6.237
concerns,1.018
europea,1.026
medals,26.725
nytimes,2.142
deploy,2.16
visa,3.237
noggin,15.939
demise,6.39
cracking,7.623
07,0.448
consequences,5.043
undeniable,1.08
garybrannan,17.472
stronger,9.99
capita,17.536
absurd,14.697
schulz,4.824
away,4.482
overpassesforamerica,8.836
whollyrottenempire,1.005
bring,9.635
democrats,37.802
ottoman,10.956
debate,6.513
unanimously,2.059
leanings,1.755
controls,0.231
reminisce,11.006
tribulation,5.841
inferior,16.035
meant,23.547
1tgktys,0.84
watching,13.446
crumbling,22.565
thrived,7.668
words,9.471
entity,6.633
dodgy,2.832
remainineu,20.409
behemoth,0.428
twitterfeed,3.024
taxes,11.952
tuned,0.693
extremists,0.359
shd,1.005
proponents,1.069
sptnkne,18.315
view,17.525
europe,167.269
exists,6.237
20xc6xq,0.472
national,1.007
7billions,2.832
yearning,1.844
theocracy,0.603
desperate,6.0
commentisfree,0.351
exploited,27.555
turks,3.38
arguably,10.164
written,10.692
neither,55.02
ends,9.737
explosive,6.723
monarchy,1.768
deliver,6.439
job,5.841
takeover,4.824
key,13.641
worksonce,5.022
despotic,2.7
taking,27.71
equal,10.232
ln,13.695
safely,1.411
co,14.414
gone,143.382
bieberdmorison,15.939
cf,0.067
ce,2.7
labor,14.697
unearthed,0.54
quit,1.267
provinces,1.541
bbc,19.397
charts,3.294
agreements,0.789
copied,5.427
467,2.7
finished,9.009
napoleon,18.657
multi,2.079
bye,8.446
abandoned,15.648
will,189.958
fault,1.155
carausius,22.537
collsped,4.8
1wpt7ab,5.606
lust,4.824
teasingwhiskers,2.373
perhaps,1.005
began,9.084
fkd,17.7
unite,0.756
another,0.871
parts,3.349
terrorism,9.462
gets,1.166
douglascarswell,1.936
http,370.979
novels,1.652
sophiewarnes,8.991
upon,0.315
prophesied,11.859
php,3.807
brexitdeceit,11.715
destruction,1.571
transaction,0.072
rootofallevil,0.649
pampered,4.522
com,139.283
well,106.067
thought,49.917
spectator,14.976
comparisons,35.586
1tdf5mc,6.237
latest,11.763
juncker,0.855
aspirations,6.237
distant,15.939
glue,2.184
eugunban,2.184
australiathe,9.009
sky,3.003
googling,9.482
nato,0.473
gestapo,6.3
286,3.863
fate,1.213
government,18.623
historic,14.657
know,79.673
prominent,1.742
attila,3.375
necessary,0.539
like,267.93
lost,7.634
jacksmithprophecy,1.915
û_,144.042
admitted,5.751
loses,0.649
24g4uu9,1.005
lose,7.613
works,13.16
refugees,0.154
page,4.219
italian,2.86
classical,17.158
